RENTA,EDAD,NIV_EDUC,COD_OFI,Crédito_1,Crédito_2,Crédito_3,Crédito_4,Número de meses inactivo,GENERO_0.0,GENERO_1.0,E_CIVIL_0.0,E_CIVIL_1.0,E_CIVIL_2.0,E_CIVIL_3.0
463000.0,63.0,1,95,0,423805,0.0,289449,1,1,0,0,1,0,0
1153000.0,42.0,4,138,1451108,19684,0.0,100000,2,1,0,0,1,0,0
4860000.0,40.0,4,31,0,350000,0.0,3537708,1,0,1,0,1,0,0
47000.0,50.0,1,25,1815858,1000000,0.0,0,3,1,0,1,0,0,0
46000.0,43.0,1,11,0,476919,0.0,0,0,1,0,1,0,0,0
7500000.0,43.0,4,90,601716,381282,0.0,223709,1,0,1,0,1,0,0
700000.0,57.0,1,34,0,412550,0.0,64967,1,1,0,0,1,0,0
50000.0,45.0,1,55,0,540021,0.0,0,1,0,1,0,1,0,0
6400000.0,64.0,2,78,0,789829,0.0,112684,1,1,0,0,1,0,0
48700.0,60.0,2,22,819533,92031,0.0,1997053,1,1,0,1,0,0,0
520000.0,60.0,2,63,0,0,0.0,0,1,1,0,0,0,1,0
2466000.0,30.0,1,101,0,1250000,0.0,768770,1,0,1,1,0,0,0
8000000.0,35.0,1,75,515659,35779,0.0,485815,1,1,0,1,0,0,0
6000000.0,38.0,2,10,0,562702,0.0,0,1,1,0,0,0,0,1
9500000.0,40.0,2,67,0,288102,0.0,0,1,1,0,1,0,0,0
1250000.0,28.0,2,13,0,800000,0.0,0,2,0,1,1,0,0,0
626000.0,48.0,1,138,0,451626,0.0,0,1,1,0,0,0,1,0
2000000.0,59.0,4,101,0,500000,0.0,2500000,1,0,1,1,0,0,0
50000.0,43.0,2,24,0,0,0.0,305359,0,1,0,1,0,0,0
557000.0,35.0,1,90,0,0,0.0,0,1,0,1,0,1,0,0
45000.0,40.0,1,55,2208949,500000,0.0,950055,2,0,1,0,1,0,0
1100000.0,53.0,1,12,0,1119107,0.0,569852,1,1,0,0,1,0,0
9800000.0,38.0,2,40,0,500000,0.0,0,1,1,0,1,0,0,0
580000.0,57.0,2,27,0,0,0.0,1498432,0,1,0,0,0,0,1
700000.0,26.0,4,15,796783,900983,0.0,0,1,0,1,0,1,0,0
2600000.0,41.0,4,60,0,115440,0.0,4500000,3,0,1,0,1,0,0
1400000.0,42.0,1,31,3105337,650000,0.0,0,2,0,1,0,0,1,0
4600000.0,44.0,4,118,0,13686,0.0,169317,2,1,0,0,1,0,0
601000.0,47.0,4,138,0,90909,0.0,234949,1,0,1,0,1,0,0
77900.0,52.0,4,55,0,500000,0.0,0,2,0,1,0,1,0,0
1106000.0,35.0,4,98,0,649998,0.0,429782,0,0,1,0,1,0,0
5500000.0,43.0,1,18,0,325000,0.0,0,1,0,1,0,0,1,0
1200000.0,48.0,1,66,0,0,0.0,0,0,0,1,0,1,0,0
1196000.0,48.0,4,138,0,0,0.0,0,1,0,1,0,1,0,0
750000.0,47.0,1,138,0,156284,0.0,0,1,0,1,1,0,0,0
674000.0,44.0,2,138,0,1631228,0.0,1015374,2,0,1,0,1,0,0
1100000.0,46.0,1,138,0,1099564,0.0,0,1,0,1,1,0,0,0
850000.0,55.0,4,18,604663,0,0.0,0,3,0,1,0,1,0,0
1000000.0,42.0,1,27,796361,259348,0.0,132718,1,1,0,1,0,0,0
51900.0,48.0,2,22,0,0,0.0,800000,1,1,0,1,0,0,0
90000.0,36.0,2,116,1539136,63243,0.0,0,1,1,0,1,0,0,0
440000.0,36.0,4,21,0,0,0.0,328674,0,1,0,0,1,0,0
478000.0,27.0,2,45,0,250000,0.0,202165,0,1,0,1,0,0,0
1566000.0,35.0,4,66,3874669,461265,201045.0,0,1,0,1,0,1,0,0
573000.0,55.0,2,16,964531,100000,0.0,0,1,1,0,0,0,1,0
772000.0,51.0,4,138,0,-17434,0.0,250000,2,0,1,0,1,0,0
600000.0,47.0,1,138,0,300000,0.0,0,1,1,0,0,1,0,0
800000.0,53.0,1,55,0,300000,0.0,0,0,0,1,1,0,0,0
1500000.0,49.0,4,45,0,1000000,0.0,0,1,0,1,0,0,0,1
700000.0,33.0,2,83,0,0,0.0,0,1,0,1,1,0,0,0
1350000.0,43.0,4,138,0,950000,0.0,885181,1,0,1,0,1,0,0
500000.0,44.0,1,36,0,938949,0.0,0,1,1,0,0,1,0,0
4600000.0,33.0,2,61,1654119,750000,0.0,378822,1,1,0,1,0,0,0
75600.0,40.0,4,132,0,10741,0.0,1430498,3,0,1,0,0,1,0
4520000.0,31.0,1,56,0,30127,0.0,600000,1,1,0,0,1,0,0
